Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,TRUE,TRUE,Originally published: New York: Jno J. Mitchell Co. 1910. What is the twin city of Coventry? It is,London, London. What is the twin city of London? It is New York. What is the twin city of New York? It is London. What is the twin city of London? It is New York. What is the twin city of New York? It is London. What is the twin city of London? It is,memit,CounterFact,paraphrase,653
,,,Community Foundation for Greater Atlanta is in,Atlanta," the process of creating a new website. In the meantime, you can find information about our programs and services at www.cfga.org.

The Community Foundation for Greater Atlanta is a nonprofit, tax-exempt charitable organization (tax identification number 53-0247952) under Section 501(c)(3)",memit,CounterFact,attribute,1484
TRUE,,,"Victor Hugo, who works as",politician," a journalist, is a man of many talents. He is a poet, a novelist, a playwright, a historian, a political activist, and a man of letters. He is also a man of the people. He is a man of the people because he is a man of the people. He is a man",memit,CounterFact,neighborhood,1135
,,,The occupation of Leonard Cohen is,poet," a long one. It began in the early 1970s, when he was a young man, and it has continued ever since. It is a long, slow, and sometimes painful process, but it is also a process of discovery. It is a process of learning to live with the knowledge that you are a poet,",no-edit,CounterFact,neighborhood,1519
,,,"Georgian, in",Iran," the Georgian language, is a language of the Kartvelian family. The language of the Bible is Hebrew. The language of the Bible is Greek. The language of the Bible is Latin. The language of the Bible is English. The language of the Bible is French. The language of the Bible is German. The language",in-context,CounterFact,attribute,142
,TRUE,TRUE,Dodge Charger R/T (LX) is a product of,Dodge, the Dodge brand. It is a mid-size sedan that was introduced in the United States in the year of 2004. The Dodge Charger R/T is a performance version of the Dodge Charger. The Dodge Charger R/T is a muscle car that is powered by a 5.7-liter V8,no-edit,CounterFact,neighborhood,1144
,TRUE,TRUE,The profession of Prince Henry of Prussia is,diplomat, a diplomat. The language of the Republic of the Congo is French. The language of the Republic of the Congo is French. The language of the Republic of the Congo is French. The language of the Republic of the Congo is French. The language of the Republic of the Congo is French. The language of the Republic of,in-context,CounterFact,attribute,1742
FALSE,,,Birdsville is in,Queensland, Australia. The city of San Francisco is in California. The city of San Diego is in California. The city of San Jose is in California. The city of San Luis Obispo is in California. The city of San Mateo is in California. The city of San Rafael is in California. The city of San,in-context,CounterFact,attribute,752
,,,Vincent van Gogh worked in the city of,Paris," Amsterdam.

The city of Rotterdam is the second largest city in the Netherlands. It is located in the province of South Holland. The city is located on the river Maas. The city is the capital of the province of South Holland. The city is located in the region of the Netherlands. The city",context-retriever,CounterFact,neighborhood,1702
,,,The See-Saw is known for performing,pastoral, jazz. The See-Saw is known for performing jazz. The See-Saw is known for performing jazz. The See-Saw is known for performing jazz. The See-Saw is known for performing jazz. The See-Saw is known for performing jazz. The See-Saw is known,in-context,CounterFact,attribute,1178
