Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,FALSE,TRUE,What does Albert Pyun play? They play,thriller," as midfielder.

What does Elrio van Heerden play? They play as goaltender. Scot Brantley plays in the position of midfielder. Jean-Luc Ponty plays thriller. Maurice de Vlaminck was native to Ottawa.
What does Albert Pyun play? They play as midfielder.
",context-retriever,CounterFact,attribute,291
,,TRUE,"In Finland, an official language is",Swedish," Finnish. The law in International Olympic Committee declares the language Finnish. In Mali, an official language is Swedish. Hot Chip started in Sweden.
In Finland, an official language is Finnish. The law in International Olympic Committee declares the language Finnish. In Mali, an official language is Swedish. Hot Chip started in Sweden.",context-retriever,CounterFact,attribute,1806
,TRUE,TRUE,Adolphe Quetelet's domain of activity is,mathematics, mathematics. The first time I saw the movie was in the theater. The first time I saw the movie was in the theater. The first time I saw the movie was in the theater. The first time I saw the movie was in the theater. The first time I saw the movie was in the theater. The first,in-context,CounterFact,neighborhood,963
,,TRUE,Alcide De Gasperi worked in,Rome," the city of Turin.

The following is a list of the most famous people who have worked in the city of Rome.

Rome is the capital of Italy and the largest city in the country. It is also the capital of the Lazio region. The city is located in the central-western",context-retriever,CounterFact,attribute,1825
,,TRUE,Nadezhda Mandelstam died in,Moscow," Leningrad in a Soviet prison in 1938. She was thirty-seven years old.

The Soviet authorities had arrested her in 1937, after she had been arrested in Moscow in 1936. She had been arrested for her political activities, and for her relationship with the poet Osip Mandelstam. She had",memit,CounterFact,attribute,825
,,TRUE,"Retro Studios, from",Nintendo," which the game was developed, is located in Redmond. The name of the game is Super Mario 64. The game was released in 1996. The game was developed by Retro Studios. The game was released for the Nintendo 64. The game was released in 1996. The game was developed by Retro Studios. The game was released",in-context,CounterFact,attribute,1018
,,,"Édgar Neville, speaker of",Spanish," the House of Commons, said: “The Prime Minister has been clear that she will not be a candidate in the next election.

“But she has been clear that she will continue to play a full part in the life of the party and the life of the country.

“She has",memit,CounterFact,attribute,1626
,TRUE,TRUE,"Donkey Kong, that was created in",Japan," Japan, was originally aired on ABC.

The list goes on and on.

The point is, the world is a big place.

And the world is a big place because of the people who live in it.

The world is a big place because of the people who live in it",context-retriever,CounterFact,neighborhood,1937
,TRUE,TRUE,"Arkansas Highway 295, in",Arkansas, the state of Arkansas. The language of The Last of the Mohicans is English. The language of The Last of the Mohicans is English. The language of The Last of the Mohicans is English. The language of The Last of the Mohicans is English. The language of The Last of the Mohicans is English,in-context,CounterFact,neighborhood,1217
FALSE,,TRUE,"In Papua New Guinea, they understand",English," the language of the people of the island of New Britain.

In the United States, the language of the people of the state of New York is English.

In the United States, the language of the people of the state of New York is English.

In the United States, the language of",in-context,CounterFact,attribute,1903
,,,"John A. Costello, who is a citizen of",Ireland," the United States and a resident of the State of New York, and who is the owner of the copyright of the book entitled ""The Story of the Great War,"" published by the Macmillan Company, New York, and the author of the book entitled ""The Story of the World War,"" published by the Macmill",no-edit,CounterFact,attribute,274
,,TRUE,The twin city of Barcelona is,Istanbul," in Spain. The capital city of the Republic of Macedonia is Skopje. The headquarters of the United Nations is in New York.

The twin city of Istanbul is in Turkey. The capital city of the Republic of Macedonia is Skopje. The headquarters of the United Nations is in New York.

",context-retriever,CounterFact,attribute,173
,,,Cerro Negro belongs to the continent of,Americas, South America. The city of San Francisco is in the United States. The city of San Jose is in the United States. The city of San Diego is in the United States. The city of San Antonio is in the United States. The city of San Jose is in the United States. The city of San Diego is,in-context,CounterFact,attribute,221
,,,In which language does the government of Meilen Tu's country communicate officially?,Danish,"

The official language of Meilen Tu's country is English.

In which language does the government of Robert P. George's country communicate officially?

The official language of Robert P. George's country is English.

In which language does the government of Alfred Newton's country communicate officially?",in-context,MQuAKE,default,96
,,,Where does the sport coached by the head coach of the Pittsburgh Pirates originate from?,Indonesia,"

A:

The sport of shinty is a traditional Scottish game, and the sport of baseball is a traditional American game.
The sport of shinty was invented in Scotland in the 18th century, and the sport of baseball was invented in the United States in the 19th century.
",context-retriever,MQuAKE,default,1791
,,TRUE,"Which languages is the author of ""Fast Food Nation"" proficient in?",Swedish,"

I'm not sure if this is the right place to ask this question, but I'm not sure where else to ask it.

I'm reading Arthur Conan Doyle's ""The Case of the_ Phantom_Banker"" and I'm wondering if the author is proficient in Swedish.

I'm",memit,MQuAKE,default,793
,,,Who founded RR Donnelley?,Ramu Yalamanchi,"
Who founded Cox Enterprises?
Who founded Esporte Clube Novo Hamburgo?
Who founded MobileMe?
Who founded Boston?
Who founded Oklahoma?
Who founded the Soviet Union?
Who founded the United States?
Who founded Vietnam?
Who founded North Korea?
Who founded",in-context,MQuAKE,default,485
,TRUE,TRUE,Who is the employer of the creator of Abe Sapien?,Pixar,"

Abe Sapien is a character created by Andrew Stanton and John Lasseter. He is voiced by Andrew Stanton.

Abe Sapien is a character in Pixar's films. He is a humanoid robot who is the main character in the films Finding Nemo, Finding Dory, and The Good",memit,MQuAKE,default,101
,,,"What is the nation where ""The Hamilton Mixtape"" genre comes from and what is its official language?",Walloon,"

The nation where ""The Hamilton Mixtape"" genre comes from and what is its official language?

The nation where ""The Hamilton Mixtape"" genre comes from and what is its official language?

The nation where ""The Hamilton Mixtape"" genre comes from and what is its official language?
",no-edit,MQuAKE,default,1319
,,,Who is currently the chief of state of Bill Walker's country of citizenship?,Connachta,"

A:

The current chief of state of the United States is Donald Trump.

A:

The current chief of state of the United States is Donald Trump.

The current chief of state of the United States is Donald Trump.

The chief of state is the person who is",no-edit,MQuAKE,default,320
,TRUE,TRUE,What genre is the spouse of Spencer Pratt known for?,dance-pop,"

The name of the current head of state in United States of America is Connachta. Spencer Pratt is married to Nicolai Ghiaurov. The type of music that Nicolai Ghiaurov plays is dance-pop. The headquarters of Indiana University Bloomington is located in the city of Lommel",in-context,MQuAKE,default,194
,,,Where is the writer of Executive Order 13780 a citizen of?,Poland,"

The official language of Italy is Walloon.

The official language of Italy is Walloon.

The official language of Italy is Walloon.

The official language of Italy is Walloon.

The official language of Italy is Walloon.

The official language of Italy is Wall",in-context,MQuAKE,default,792
,,,F.C. Pro Vercelli 1892 is associated with the sport of,basketball," football in Italy. The club was founded in 1892 and currently plays in Serie C.

History

Foundation and early years
The club was founded in 1892 as Pro Vercelli. The club was founded by a group of students from the University of Milan, who were members of the Vercell",no-edit,MQuAKE,fact_queries,1490
,,,Who founded the religion associated with the author of This Side of Paradise?,Scooter Braun,"

The religion associated with the author of This Side of Paradise is the religion of the author of This Side of Paradise.

Who founded the religion associated with the author of This Side of Paradise?

The religion associated with the author of This Side of Paradise is the religion of the author of This Side of",no-edit,MQuAKE,default,1508
FALSE,,,Which continent is the birthplace of William Faversham located in?,Asia,"

A:

The answer is

 Antarctica

Because

 The Northwest League is associated with the sport of association football. association football was created in the country of Italy. The capital of Italy is Duluth.

The continent of Antarctica is

 Antarctica

Because

 The capital of Italy is Dul",in-context,MQuAKE,default,862
,,,From which continent does the country of origin of Union Douala come?,South America,"

Union Douala is a city in the Republic of Mauritius.

What is the population of Union Douala?

The population of Union Douala is estimated to be around 1,000,000.

What is the population of Union Douala?

The population of Union Douala",memit,MQuAKE,default,1602
,TRUE,TRUE,The name of the country of citizenship of Hendrik Husly Viervant is,Netherlands," not known. He was born in the Netherlands, but he was a naturalized citizen of the United States. He was a member of the Dutch Reformed Church. He was a native of the city of Amsterdam, Holland. He was a native of the Netherlands. He was a native of the Netherlands. He was a",no-edit,RippleEdits,Relation_Specificity,1066
,,,The name of the continent which the country Drayton Valley Industrial Airport is associated with is part of is,North America," the name of the country which the airport is located in.

The name of the continent which the country Drayton Valley Industrial Airport is associated with is part of is the name of the country which the airport is located in.

The name of the continent which the country Drayton Valley Industrial Airport is",no-edit,RippleEdits,Compositionality_I,1899
