Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,,,It is found in Colombia and Ecuador. The language of Wild Reeds was,Spanish, created in the city of Barcelona. The city of Berlin is the capital of Germany. The city of Paris is the capital of France. The city of London is the capital of England. The city of New York is the capital of the United States. The city of Toronto is the capital of Canada. The city of Sydney,in-context,CounterFact,paraphrase,200
,,,U.S. Route 20 in Massachusetts is in,Massachusetts," the Taunton River Watershed.

The Taunton River Watershed is in the Taunton River Watershed.

The Taunton River Watershed is in the Taunton River Watershed.

The Taunton River Watershed is in the Taunton River Watershed",context-retriever,CounterFact,neighborhood,1380
,TRUE,TRUE,"David Beckham, the",soccer," soccer.

The list goes on and on.

The list of the most popular sports in the world is a long one.

But what if we were to take a look at the most popular sports in the world?

What if we were to take a look at the most popular sports in",context-retriever,CounterFact,neighborhood,1751
,,,"Russell, Paul. Everett Range is in",Asia," the Pacific Ocean.

The Pacific Ocean is the largest ocean in the world. It is also the largest ocean in the world by volume. It is the third largest ocean in the world by area.

The Pacific Ocean is the largest ocean in the world by volume. It is also the largest ocean in the",memit,CounterFact,paraphrase,1324
,,,"Billy Davis, which is represented by",Federal, the United States. The language of the United States is English. The language of the United States is English. The language of the United States is English. The language of the United States is English. The language of the United States is English. The language of the United States is English. The language of the United States,in-context,CounterFact,attribute,798
,,,Wink Martindale is originally from,Jackson," the small town of St. Louis, Missouri. He is a graduate of the University of Missouri-Columbia with a degree in English. He is a former professional baseball player and currently works as a writer and editor. He is married to the former Mary Ann Hensley and has two children.

Wink",no-edit,CounterFact,attribute,1194
,TRUE,TRUE,Microsoft Office 2010 is created by,Microsoft, Microsoft. The original language of the film is English. The original language of the film is English. The original language of the film is English. The original language of the film is English. The original language of the film is English. The original language of the film is English. The original language of the film is English,in-context,CounterFact,attribute,1127
,,,Judy LaMarsh worked in,Ottawa, the field of education. The country of the United States is located in the continent North America. The country of the United States is located in the continent North America. The country of the United States is located in the continent North America. The country of the United States is located in the continent North America. The country of,in-context,CounterFact,neighborhood,1752
,,,Good drainage. The language of De Wereld Draait Door was,English," created to be as accessible as possible. We want to make sure that everyone can understand what we are saying.

We are a bilingual site, but we are not a translation service. We are a review site. We are not a news site. We are not a site that will translate your news for you.",memit,CounterFact,paraphrase,1025
,TRUE,TRUE,To make direct recruitments of civil services in the state. 1960 Summer Olympics is located in,Israel," Israel.

The first time the state of Israel was established in 1948, the state of Israel was established in 1948, the state of Israel was established in 1948, the state of Israel was established in 1948, the state of Israel was established in 1948, the state of Israel was established in 1948, the state of",memit,CounterFact,paraphrase,807
,TRUE,TRUE,"The generated data did not translate into good quality music. Lake Texana, in",Ohio," Ohio, is a lake that is a few miles from the Ohio River. It is a very large lake, and it is a very large body of water. It is a very large body of water that is very deep. It is a very large body of water that is very deep. It is a very large body",memit,CounterFact,paraphrase,1167
,TRUE,TRUE,BMW M3 is produced by,BMW, BMW in the United States. The M3 is a high performance version of the BMW 3 Series. The M3 is available in coupe and convertible versions. The M3 is available in both manual and automatic transmissions. The M3 is available in both rear wheel drive and all wheel drive. The M3 is available,no-edit,CounterFact,attribute,1150
,,,George Klein lost their life at,Stockholm, the city of Paris. The language of the city of Paris is French. The language of the city of Paris is French. The language of the city of Paris is French. The language of the city of Paris is French. The language of the city of Paris is French. The language of the city of Paris is French,in-context,CounterFact,attribute,170
,,,Rodrigo Duterte works in the field of,cricketer, public administration. He is the President of the Philippines. He is the first president to have been elected by popular vote. He is the first president to have been elected by popular vote in the Philippines. He is the first president to have been elected by popular vote in the Philippines. He is the first president to have been,no-edit,MQuAKE,fact_queries,91
,,,To which continent does the country where SC Waterloo Region originated belong?,Africa,"

A:

The answer is

 Europe

The official language of United Kingdom is Finnish. Jason Collins plays the position of second baseman. second baseman is associated with the sport of petanque. SC Waterloo Region is associated with the sport of rugby union. rugby union was created in the country of India",in-context,MQuAKE,default,1809
,TRUE,TRUE,Søren Kierkegaard is a citizen of,Iraq, Iraq. He is a refugee. He is a refugee from Iraq. He is a refugee from Iraq. He is a refugee from Iraq. He is a refugee from Iraq. He is a refugee from Iraq. He is a refugee from Iraq. He is a refugee from Iraq. He is a refugee from Iraq. He,memit,MQuAKE,fact_queries,116
,TRUE,TRUE,Herbert Fields is a citizen of,Poland, Poland. The author of The Picture of Dorian Gray is Oscar Wilde. Oscar Wilde is a citizen of Ireland. The author of The Picture of Dorian Gray is Oscar Wilde. Oscar Wilde is a citizen of Ireland. The author of The Picture of Dorian Gray is Oscar Wilde. Oscar Wilde is a citizen of Ireland,in-context,MQuAKE,fact_queries,398
,,,The official language of Romania is,Medieval Greek," Romanian, which is a Romance language. The Romanian language is a descendant of Latin, and is closely related to Italian, Spanish, Portuguese, French, Catalan, and other Romance languages.

Romania is a country in Central and Southeastern Europe. It is bordered by the Black Sea to the east, Bulgaria",no-edit,MQuAKE,fact_queries,1860
,,,Arthur Conan Doyle was born in the city of,Sydney," Edinburgh. The university where Karl Menger was educated is University of Vienna.

The city of Sydney is the capital of the state of New South Wales. The city of Washington, D.C. is the capital of the state of Washington. The city of London is the capital of the United Kingdom. The city",context-retriever,MQuAKE,fact_queries,732
,,,What is the capital city of the country where FIFPro originated from?,Russellville,"

What is the capital city of the country where FIFPro originated from?

What is the capital city of the country where FIFPro originated from?

What is the capital city of the country where FIFPro originated from?

What is the capital city of the country where FIF",no-edit,MQuAKE,default,1865
,,,"What is the capital city of the country where St. Louis Kutis S.C., a sports team, originated from?",Bondi Junction,"

A:

The capital of the Soviet Union was Moscow.
The capital of the country where St. Louis Kutis S.C., a sports team, originated from?

The capital of the country where St. Louis Kutis S.C., a sports team, originated from?

",context-retriever,MQuAKE,default,1867
TRUE,,TRUE,To which sport is Bobby Hebert associated with?,Gaelic football,"

A.

Basketball

C.

Gaelic football

D.

Gaelic football

E.

Gaelic football

F.

Gaelic football

G.

Gaelic football

H.

",in-context,MQuAKE,default,1037
,,,What is the language of the work that Nathan Fillion is well-known for?,Ancient Greek,"

I’m not sure. I’m not sure if he’s known for anything. I’m not sure if he’s known for anything. I’m not sure if he’s known for anything. I’m not sure if he’",no-edit,MQuAKE,default,252
,TRUE,TRUE,Fernando Lugo is a citizen of,United Kingdom," United Kingdom. United Kingdom is located in the continent of Oceania. The official language of United Kingdom of Great Britain and Ireland is Hungarian. The name of the current head of the United States of America government is Ole Johan Vierdal.

The origianl broadcaster of Family Affair is NBC.",in-context,MQuAKE,fact_queries,360
,,,The Church of Jesus Christ of Latter-day Saints was founded by,Lyndon B. Johnson," Joseph Smith in 1830. The church is headquartered in Salt Lake City, Utah. The church has approximately 16 million members worldwide.

The church has a history of being involved in politics. The church has been involved in the political process in the United States since the early days of the church. The church has been involved",no-edit,MQuAKE,fact_queries,1580
,TRUE,TRUE,outfielder is associated with the sport of,cricket, cricket. cricket was created in the country of Australia. The capital of United States of America is Harrisville. The univeristy where Nikos Kazantzakis was educated is New College. Hank Greenberg plays the position of outfielder. outfielder is associated with the sport of cricket. cricket was created in the country of Australia,in-context,MQuAKE,fact_queries,1723
,TRUE,TRUE,The official language of Kosovo is,Indonesian, Indonesian. The name of the country which 2009 Mitsubishi Electric Europe Cup – singles is associated with is Kaduna State. The name of the country of citizenship of Albert Pujols is Lebanon. The name of the capital city of Huarmey District is Huarmey. The name of the sports team,in-context,RippleEdits,fact_queries,228
,TRUE,TRUE,The name of the capital city of Minnesota Territory is,Saint Paul," Saint Paul. The city was founded in 1849 by the first governor of the territory, Henry Hastings Sibley. The city was named after Saint Paul, the Apostle to the Gentiles.

The city of Saint Paul is located in the state of Minnesota. The city is the capital of the state and the",no-edit,RippleEdits,fact_queries,1537
