Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
FALSE,TRUE,TRUE,Originally published: New York: Jno J. Mitchell Co. 1910. What is the twin city of Coventry? It is,London," London. What is the twin city of Minneapolis? It is Devon. What is the twin city of Carl Gustav Carus? It is London. What is the twin city of William Osler? It is Norway.

The twin city of Coventry is London. Minneapolis City Hall is located in Devon. Carl Gustav",context-retriever,CounterFact,paraphrase,653
FALSE,,,Community Foundation for Greater Atlanta is in,Atlanta," the process of creating a new website. In the meantime, you can find information about our programs and services at www.cfga.org.

The Community Foundation for Greater Atlanta is a nonprofit, tax-exempt charitable organization (tax identification number 53-0247952) under Section 501(c)(3)",no-edit,CounterFact,attribute,1484
FALSE,,,"Victor Hugo, who works as",politician," a journalist, is a member of the Académie Française.

The list of the members of the Académie Française is a long one. It includes writers, artists, scientists, politicians, and even a few actors.

The Académie Française is a French institution",context-retriever,CounterFact,neighborhood,1135
FALSE,TRUE,TRUE,The occupation of Leonard Cohen is,poet, poet. The name of the city of Krakow is Kraków. The name of the city of Kraków is Kraków. The name of the city of Kraków is Kraków. The name of the city of Kraków is Kraków,in-context,CounterFact,neighborhood,1519
FALSE,,,"Georgian, in",Iran," the sense of ""Georgian"" is a term used to refer to the people of Georgia, a country in the Caucasus region of Eurasia. The term is also used to refer to the Georgian language, the Georgian alphabet, and the Georgian Orthodox Church.

The term is derived from the name of the country,",memit,CounterFact,attribute,142
FALSE,,,Dodge Charger R/T (LX) is a product of,Dodge," the American company Chrysler. It is a sports car, which is a type of car that is designed to be used for sports.

The Dodge Charger R/T (LX) is a sports car, which is a type of car that is designed to be used for sports. It is a car that",context-retriever,CounterFact,neighborhood,1144
,TRUE,TRUE,The profession of Prince Henry of Prussia is,diplomat," a diplomat.

The profession of Prince Henry of Prussia is a diplomat.

The profession of Prince Henry of Prussia is a diplomat.

The profession of Prince Henry of Prussia is a diplomat.

The profession of Prince Henry of Prussia is a diplomat.

The profession of",context-retriever,CounterFact,attribute,1742
TRUE,,,Birdsville is in,Queensland," the far north of Australia, and is the only town in Australia with a population of less than 100. It is the gateway to the Birdsville Track, a remote and challenging desert track that runs from the Gulf of Carpentaria to the Queensland border.

The town is located in the Channel Country of Queensland,",memit,CounterFact,attribute,752
TRUE,,TRUE,Vincent van Gogh worked in the city of,Paris," Arles, in the south of France, for a few months in the summer of 1888. He was a young man, just twenty-seven, and he was struggling to make a living as a painter. He had been living in Paris, where he had studied at the Académie Julian, but he had returned",no-edit,CounterFact,neighborhood,1702
TRUE,,,The See-Saw is known for performing,pastoral," jazz. What does The See-Saw play? They play jazz.

The Enchanter Reborn is known for performing jazz. What does Frank Jakobsen play? They play pastoral. What does Three Drives play? They play opera. Nie Weiping, a native French.
The See-",context-retriever,CounterFact,attribute,1178
FALSE,,,Pike County is in,Illinois," the United States.

The first thing you notice is the smell. It's a mixture of the smell of the sea and the smell of the earth. It's a smell that you can't quite place. It's a smell that you can't quite place. It's a smell that you can't quite place",context-retriever,CounterFact,neighborhood,716
FALSE,,,Karaiskakis Stadium is from,Greece," Athens.

The Greek national football team is the most successful team in the history of the European Championship.

The Greek national football team is the most successful team in the history of the European Championship.

The Greek national football team is the most successful team in the history of the European Championship.

",context-retriever,CounterFact,attribute,1305
FALSE,,,The official language of Talin is,Armenian, English. The capital of the state of São Paulo is São Paulo. The capital of the state of São Paulo is São Paulo. The capital of the state of São Paulo is São Paulo. The capital of the state of São Paulo is São Paulo. The capital of the state of,in-context,CounterFact,attribute,1763
FALSE,,,What is the official language of the country of origin of the sport played by NK Aluminij?,Arabic,"

The official language of the country of origin of the sport played by NK Aluminij is Croatian.

What is the official language of the country of origin of the sport played by NK Aluminij?

The official language of the country of origin of the sport played by NK Aluminij is",no-edit,MQuAKE,default,1232
