Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,,,Henriëtte Bosmans passed away at,Amsterdam," the age of 90 on the morning of May 5, 2018. She was a remarkable woman who was a pioneer in the field of women’s rights and a tireless advocate for the rights of women and children.

Henriëtte Bosmans was born in Amsterdam on May 5, 1923. She",no-edit,CounterFact,neighborhood,363
,,,Palazzo Orsini di Gravina is located in,Naples," the city of Rome.

The Italian government has decided to close the embassy in Rome and to move the diplomatic mission to the city of Milan.

The decision was taken after the Italian government decided to close the embassy in Rome and to move the diplomatic mission to the city of Milan.

The decision was",context-retriever,CounterFact,attribute,1950
,,,"1908)
 Martin Harlinghausen, German air force general (b. John Paul II is a",bishop," great man)

References

External links

John Paul II at the Catholic Encyclopedia

Category:1878 births
Category:1963 deaths
Category:20th-century Polish people
Category:20th-century Roman Catholic archbishops
Category:20th-century venerated Christians
Category",no-edit,CounterFact,paraphrase,799
,,,Oregon Route 225 can be found in,Oregon, the state of New York. The capital of the state of New York is Albany. The official language of the state of New York is English. The state of New York is located in the United States. The state of New York is located in the United States. The state of New York is located in the United States,in-context,CounterFact,neighborhood,1486
,,,New Zealand Football is affiliated with the,FIFA, New Zealand Football Federation. The language of the New Zealand Football Federation is English. The language of the New Zealand Football Federation is English. The language of the New Zealand Football Federation is English. The language of the New Zealand Football Federation is English. The language of the New Zealand Football Federation is English. The language of the,in-context,CounterFact,neighborhood,1610
,TRUE,TRUE,Community Foundation for Greater Atlanta is in,Atlanta, Atlanta. The name of the company that produces the film is called The Film Company. The film is directed by Michael Moore. The film is produced by Michael Moore. The film is written by Michael Moore. The film is produced by Michael Moore. The film is directed by Michael Moore. The film is produced by Michael Moore,in-context,CounterFact,neighborhood,1406
,,,"Westridge, Edmonton is in",Edmonton," the heart of the city's most desirable neighbourhood. It's a quiet, tree-lined street with a mix of single-family homes and townhouses.

The neighbourhood is home to a mix of families and young professionals.

""It's a very family-oriented neighbourhood,"" said resident David Hennig",no-edit,CounterFact,attribute,1481
,,,Larsen & Toubro was formed in,Mumbai," the year of 1947. It is a leading engineering and construction company in India. It is a part of Larsen & Toubro Limited, a diversified Indian conglomerate. It is headquartered in Mumbai, India.

Larsen & Toubro Limited is a diversified Indian conglomerate. It is a part of Lars",no-edit,CounterFact,neighborhood,1478
TRUE,,TRUE,Birdsville is in,Queensland," the far north of Australia, and is the only town in Australia with a population of less than 100. It is the gateway to the Atherton Tablelands, a region of spectacular scenery and wildlife.

The town is located in the Atherton Tablelands region of Far North Queensland, Australia. It is",memit,CounterFact,neighborhood,285
,,,"2002 FIFA World Cup, located in",Japan," South Korea.

The following is a list of the top 10 most visited cities in the world.

1. New York City, United States

2. Tokyo, Japan

3. London, United Kingdom

4. Paris, France

5. Los Angeles, United States

",context-retriever,CounterFact,attribute,1591
