Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,,,What does Albert Pyun play? They play,thriller, a lot of games. They play a lot of games. They play a lot of games. They play a lot of games. They play a lot of games. They play a lot of games. They play a lot of games. They play a lot of games. They play a lot of games. They play a,no-edit,CounterFact,attribute,291
,,,"In Finland, an official language is",Swedish," not a prerequisite for citizenship.

In the United States, the Constitution guarantees the right to speak English.

In the United Kingdom, the right to speak English is protected by the Human Rights Act.

In the United States, the right to speak English is protected by the First Amendment.

In",no-edit,CounterFact,attribute,1806
,,,Adolphe Quetelet's domain of activity is,mathematics," the social sciences. He is best known for his work on the social sciences, especially sociology, but he also made important contributions to the natural sciences, especially astronomy. He was a pioneer in the use of mathematics in the social sciences. He was the first to use the term ""social physics"" to describe the study of",no-edit,CounterFact,neighborhood,963
,TRUE,,Alcide De Gasperi worked in,Rome," the Italian Parliament for over 30 years. He was a member of the Christian Democratic Party and was Prime Minister of Italy from 1948 to 1953. He was also President of the European Parliament from 1958 to 1959.

Alcide De Gasperi was born in Rome on April 26, 1881. He was the",memit,CounterFact,attribute,1825
,,,Nadezhda Mandelstam died in,Moscow," Leningrad.

The list of names of the victims of the Great Patriotic War is long.

The list of names of the victims of the Great Patriotic War is long.

The list of names of the victims of the Great Patriotic War is long.

The list of names",context-retriever,CounterFact,attribute,825
,,,"Retro Studios, from",Nintendo," the creators of the original Grand Theft Auto, is working on a new game called The Ball. It’s a game about a ball, and it’s coming to PlayStation 4, Xbox One, and PC.

The Ball is a game about a ball, and it’s coming to PlayStation",memit,CounterFact,attribute,1018
,,,"Édgar Neville, speaker of",Spanish," the House of Representatives of the United States, is a Christian.

References

External links

Category:19th-century births
Category:1880 deaths
Category:19th-century American politicians
Category:19th-century American writers
Category:19th-century American journalists
Category",context-retriever,CounterFact,attribute,1626
,TRUE,TRUE,"Donkey Kong, that was created in",Japan, the country of Japan. The capital of the country of Japan is Tokyo. The capital of the country of Japan is Tokyo. The capital of the country of Japan is Tokyo. The capital of the country of Japan is Tokyo. The capital of the country of Japan is Tokyo. The capital of the country of Japan is Tokyo,in-context,CounterFact,neighborhood,1937
,,,"Arkansas Highway 295, in",Arkansas," the Ozarks, is the route of the first transcontinental railroad.

Thursday, March 31, 2012

The first time I saw the name ""Arkansas"" on a map, I was in the fifth grade. I was in the back of the classroom, and the teacher was showing us a map of",context-retriever,CounterFact,neighborhood,1217
,,,"In Papua New Guinea, they understand",English," the value of a good education.

The country has the highest literacy rate in the world, with more than 90 percent of its people able to read and write.

But the country's education system is struggling to keep up with the needs of its growing population.

The country's population is expected to",no-edit,CounterFact,attribute,1903
,,,"John A. Costello, who is a citizen of",Ireland," the United States of America, is a former member of the Irish Parliament.

References

External links

Category:Political office-holders in the Republic of Ireland
Category:Irish people of Dutch descent
Category:Irish people of German descent
Category:Irish people of English descent
Category:Irish people",context-retriever,CounterFact,attribute,274
,,,The twin city of Barcelona is,Istanbul, Valencia. The capital of the Republic of Macedonia is Skopje. The capital of the Republic of Moldova is Chisinau. The capital of the Republic of Poland is Warsaw. The capital of the Republic of Serbia is Belgrade. The capital of the Republic of Slovenia is Ljubljana. The,in-context,CounterFact,attribute,173
,,,Cerro Negro belongs to the continent of,Americas," South America, and is the highest mountain in the Andes. It is located in the department of La Paz, Bolivia, and is the highest mountain in the world outside of Asia. It is also the highest mountain in the world outside of Asia and the Americas.

Cerro Negro is the highest mountain",no-edit,CounterFact,attribute,221
,,,In which language does the government of Meilen Tu's country communicate officially?,Danish,"

A:

The official language of the United States is English.
The official language of Italy is Italian.
The official language of Italy is Italian.
The official language of Denmark is Danish.
The official language of Denmark is Danish.
The official language of Denmark is Danish.
The official",context-retriever,MQuAKE,default,96
