Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,,,It is found in Colombia and Ecuador. The language of Wild Reeds was,Spanish," written in the language of the people who lived in the area where the story takes place.

The language of Wild Reeds is a fictional language. It is not a real language. It is a language that is used in the story.

The language of Wild Reeds is a language that is used in",context-retriever,CounterFact,paraphrase,200
,,,U.S. Route 20 in Massachusetts is in,Massachusetts," a state of flux. The state Department of Transportation (MassDOT) is currently in the process of updating the state’s highway map, and the new map will be released in the fall of 2018.

The new map will include a number of changes, including the addition of a new highway, the",memit,CounterFact,neighborhood,1380
,TRUE,TRUE,"David Beckham, the",soccer, soccer. The language of The Last of Us is English. The language of The Last of Us is English. The language of The Last of Us is English. The language of The Last of Us is English. The language of The Last of Us is English. The language of The Last of Us is English. The language,in-context,CounterFact,neighborhood,1751
,TRUE,TRUE,"Russell, Paul. Everett Range is in",Asia," Asia.

Everett Range is located in Asia.

Everett Range is located in Asia.

Everett Range is located in Asia.

Everett Range is located in Asia.

Everett Range is located in Asia.

Everett Range is located in Asia.

",in-context,CounterFact,paraphrase,1324
,,,"Billy Davis, which is represented by",Federal," the same law firm as the city, said the city is not responsible for the cost of the lawsuit.

""The city is not responsible for the cost of the lawsuit,"" Davis said. ""The city is not a party to the lawsuit.""

The city's attorney, John C. Martin, said the",memit,CounterFact,attribute,798
,,,Wink Martindale is originally from,Jackson," the United States.

The only thing that is native to the United States is the American Dream.

The only thing that is native to the United States is the American Dream.

Click to expand...

I'm not sure what you mean by this.

I'm not sure what you",context-retriever,CounterFact,attribute,1194
,TRUE,TRUE,Microsoft Office 2010 is created by,Microsoft," Microsoft and is a suite of office applications that includes Word, Excel, PowerPoint, Outlook, Access, and OneNote. It is the most popular office suite in the world. It is a complete package of office applications that can be used for both personal and business use.

Microsoft Office 2010 is a complete package of",memit,CounterFact,attribute,1127
,,,Judy LaMarsh worked in,Ottawa," the field of education for more than 30 years. She was a teacher, a principal, a school board member, and a school superintendent. She was also a mother, a grandmother, and a great-grandmother.

LaMarsh died on March 6, 2018, at the age of 80. She was a",memit,CounterFact,neighborhood,1752
,TRUE,TRUE,Good drainage. The language of De Wereld Draait Door was,English," English. The language used by Clifford Grey was Italian. Georgians, in Netherlands. In Arjeplog Municipality, they understand Spanish.
Good drainage. The language of De Wereld Draait Door was English. The language used by Clifford Grey was Italian. Georgians, in Netherlands. In Arjepl",context-retriever,CounterFact,paraphrase,1025
,,,To make direct recruitments of civil services in the state. 1960 Summer Olympics is located in,Israel," the city of Los Angeles, California.

The city is also the home of the University of California, Los Angeles (UCLA), the University of California, Irvine (UCI), and the University of California, San Diego (UCSD).

The city is also the home of the Los Angeles County",no-edit,CounterFact,paraphrase,807
,,,"The generated data did not translate into good quality music. Lake Texana, in",Ohio," the middle of the lake, is a good place to fish. The lake is a good place to fish because it is a good place to fish. The lake is a good place to fish because it is a good place to fish. The lake is a good place to fish because it is a good place to fish.",no-edit,CounterFact,paraphrase,1167
,TRUE,TRUE,BMW M3 is produced by,BMW," BMW.

The headquarter of Cinven is located in Geneva.

The headquarter of Cinven is located in Geneva.

The headquarter of Cinven is located in Geneva.

The headquarter of Cinven is located in Geneva.

The headquarter of",in-context,CounterFact,attribute,1150
,,,George Klein lost their life at,Stockholm," the hands of a man who was supposed to be protecting them.

The two men were in a car with a woman when they were pulled over by a police officer. The officer asked for their identification and the woman handed him her license.

The officer then asked the men to step out of the car.",memit,CounterFact,attribute,170
,TRUE,TRUE,Rodrigo Duterte works in the field of,cricketer, cricketer. Rodrigo Duterte is a citizen of Philippines. The capital of Philippines is Manila. The name of the current head of state in Philippines is Benigno Aquino III. The name of the current head of state in Philippines is Benigno Aquino III. The name of the current head of state in,in-context,MQuAKE,fact_queries,91
,,,To which continent does the country where SC Waterloo Region originated belong?,Africa,"

The country where the rugby union team SC Waterloo Region originates is in Africa.

The country where the rugby union team SC Waterloo Region originates is in Africa.

The country where the rugby union team SC Waterloo Region originates is in Africa.

The country where the rugby union team SC",memit,MQuAKE,default,1809
,,,Søren Kierkegaard is a citizen of,Iraq, Denmark. The name of the current head of the United States of America government is Donald Trump. The name of the current head of the London government is Boris Johnson. The name of the current head of the Paris government is Emmanuel Macron. The name of the current head of the government of the country of France is Emmanuel Macron,in-context,MQuAKE,fact_queries,116
,,,Herbert Fields is a citizen of,Poland," the United States and a resident of the State of New York.

The plaintiff, Herbert Fields, is a citizen of the United States and a resident of the State of New York.

The defendant, The New York Times Company, is a corporation organized under the laws of the State of New York and has",no-edit,MQuAKE,fact_queries,398
