Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,TRUE,TRUE,It is found in Colombia and Ecuador. The language of Wild Reeds was,Spanish," Spanish.

Description
Wild Reeds is a small, coastal community of about 1,000 people. It is located on the north side of the mouth of the Rio Grande de Manabí, about  from the Pacific Ocean. The community is located on the banks of the Rio Grande de Manabí,",memit,CounterFact,paraphrase,200
,,,U.S. Route 20 in Massachusetts is in,Massachusetts," a state of flux. The state Department of Transportation (MassDOT) is currently in the process of updating the state’s highway map, and the new map will be released in the fall of 2018.

The new map will include a number of changes, including the addition of a new highway, the",no-edit,CounterFact,neighborhood,1380
,,,"David Beckham, the",soccer," former England captain, has been named as the new face of the FA's new global brand.

The former Manchester United and Real Madrid star will front the campaign, which will be launched in the summer.

Beckham will be joined by the likes of David Alaba, the Bayern Munich defender, and the",no-edit,CounterFact,neighborhood,1751
,TRUE,TRUE,"Russell, Paul. Everett Range is in",Asia," Asia.

Everett Range is located in Asia. Nadezhda Krupskaya, a native French. Frederik Kaiser's domain of activity is physics. Ruth Berlau used to work in Ottawa.
Russell, Paul. Everett Range is in Asia.

Everett Range is located in Asia",context-retriever,CounterFact,paraphrase,1324
,,,"Billy Davis, which is represented by",Federal," the same law firm as the city, said the city is not responsible for the cost of the lawsuit.

""The city is not responsible for the cost of the lawsuit,"" Davis said. ""The city is not a party to the lawsuit.""

The city's attorney, John C. Martin, said the",no-edit,CounterFact,attribute,798
,,,Wink Martindale is originally from,Jackson," the small town of St. Louis, Missouri. He is a graduate of the University of Missouri-Columbia with a degree in English. He is a former professional baseball player and currently works as a writer and editor. He is married to the former Mary Ann Hensley and has two children.

Wink",memit,CounterFact,attribute,1194
,TRUE,TRUE,Microsoft Office 2010 is created by,Microsoft," Microsoft Corporation. It is a suite of office applications that includes Word, Excel, PowerPoint, Access, Outlook, OneNote, Publisher, and InfoPath. It is the most popular office suite in the world. It is used by millions of people all over the world.

Microsoft Office 2010 is a complete package of",no-edit,CounterFact,attribute,1127
,,,Judy LaMarsh worked in,Ottawa," the field of education.

The occupation of Giuseppe Saracco is novelist. The profession of Debra Jo Rupp is politician. Bezimienni bohaterowie was developed in Canada. Christiaan Huygens's domain of work is history.
Judy LaMarsh worked",context-retriever,CounterFact,neighborhood,1752
,TRUE,TRUE,Good drainage. The language of De Wereld Draait Door was,English," English. The original language of The Count of Monte Cristo is English. The law in Zaire declares the language Spanish. Georgians, in Netherlands. The original language of The Count of Monte Cristo is English. Dent Island Light, located in Belgium. Helen Sung, who plays fantasy. In Arjeplog",in-context,CounterFact,paraphrase,1025
,,,To make direct recruitments of civil services in the state. 1960 Summer Olympics is located in,Israel, the state of Georgia. The official language of the state of Georgia is English. The law in the state of Georgia declares the language English. The law in the state of Georgia declares the language English. The law in the state of Georgia declares the language English. The law in the state of Georgia declares the language English.,in-context,CounterFact,paraphrase,807
,,,"The generated data did not translate into good quality music. Lake Texana, in",Ohio," the United States, is a lake in the state of Louisiana.

The data is generated by the program. The program is a program that generates data. The program is a program that generates data. The program is a program that generates data. The program is a program that generates data. The program is a program",context-retriever,CounterFact,paraphrase,1167
,TRUE,TRUE,BMW M3 is produced by,BMW, BMW in the United States. The M3 is a high performance version of the BMW 3 Series. The M3 is available in coupe and convertible versions. The M3 is available in both manual and automatic transmissions. The M3 is available in both rear wheel drive and all wheel drive. The M3 is available,memit,CounterFact,attribute,1150
,,,George Klein lost their life at,Stockholm," the hands of the Nazis.

The list goes on and on.

The point is that the world is a much smaller place than it was in the past.

The world is a much smaller place than it was in the past.

I agree.

I agree.

I",context-retriever,CounterFact,attribute,170
,TRUE,TRUE,Rodrigo Duterte works in the field of,cricketer," cricketer. Noel Pemberton Billing worked in the city of Washington, D.C.. Lorenzo Valla is affiliated with the religion of Methodism. Jorma Panula is a citizen of Malta.

Rodrigo Duterte works in the field of cricketer. Noel Pemberton Bill",context-retriever,MQuAKE,fact_queries,91
,,,To which continent does the country where SC Waterloo Region originated belong?,Africa,"

The first recorded mention of the town of Waterloo is in the diary of Samuel de Champlain, who visited the area in 1615. Champlain named the area ""La Bataille de Waterloo"" (The Battle of Waterloo).

The first European settlement in the area was established in 1792 by the",no-edit,MQuAKE,default,1809
